group	variants	groupName	groupMembers	variants_alias
1	A	A	A	A
2	A.23.1	A.23.1	A.23.1	A.23.1
3	A.27	A.27	A.27	A.27
4	A.28	A.28	A.28	A.28
5	B.1.1.1	B.1.1.1	B.1.1.1	B.1.1.1
6	B.1.1.1.1.2	C.1.2	B.1.1.1.1.2	C.1.2
7	B.1.1.1.16	C.16	B.1.1.1.16	C.16
8	B.1.1.1.37	C.37	B.1.1.1.37	C.37
9	B.1.1.28.1	P.1	B.1.1.28.1	P.1
10	B.1.1.318	B.1.1.318	B.1.1.318	B.1.1.318
11	B.1.1.318.2	AZ.2	B.1.1.318.2	AZ.2
12	B.1.1.370.1	AT.1	B.1.1.370.1	AT.1
13	B.1.1.482.1	AV.1	B.1.1.482.1	AV.1
14	B.1.1.519	B.1.1.519	B.1.1.519	B.1.1.519
15	B.1.1.529.1	BA.1	B.1.1.529.1	BA.1
16	B.1.1.529.1.1	BA.1.1	B.1.1.529.1.1	BA.1.1
17	B.1.1.529.2	BA.2	B.1.1.529.2	BA.2
18	B.1.1.529.2.3.20	BA.2.3.20	B.1.1.529.2.3.20	BA.2.3.20
19	B.1.1.529.2.75	BA.2.75	B.1.1.529.2.75	BA.2.75
20	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1	B.1.1.529.2.75.3.4.1.1.1.1	CH.1.1
21	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	DV.7.1	B.1.1.529.2.75.3.4.1.1.1.1.1.7.1	DV.7.1
22	B.1.1.529.2.75.5.1	BN.1	B.1.1.529.2.75.5.1	BN.1
23	B.1.1.529.2.86	BA.2.86	B.1.1.529.2.86	BA.2.86
24	B.1.1.529.2.86.1	BA.2.86.1	B.1.1.529.2.86.1	BA.2.86.1
25	B.1.1.529.2.86.1.1	JN.1	B.1.1.529.2.86.1.1	JN.1
26	B.1.1.529.2.86.1.1.1	JN.1.1	B.1.1.529.2.86.1.1.1	JN.1.1
27	B.1.1.529.2.86.1.1.11	JN.1.11	B.1.1.529.2.86.1.1.11	JN.1.11
28	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1	LP.8.1	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1	LP.8.1
29	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.1	PF.1	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.1	PF.1
30	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.2	PF.2	B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.6.2	PF.2
31	B.1.1.529.2.86.1.1.11.1.2	KP.2	B.1.1.529.2.86.1.1.11.1.2	KP.2
32	B.1.1.529.2.86.1.1.11.1.2.3	KP.2.3	B.1.1.529.2.86.1.1.11.1.2.3	KP.2.3
33	B.1.1.529.2.86.1.1.11.1.3	KP.3	B.1.1.529.2.86.1.1.11.1.3	KP.3
34	B.1.1.529.2.86.1.1.11.1.3.1	KP.3.1	B.1.1.529.2.86.1.1.11.1.3.1	KP.3.1
35	B.1.1.529.2.86.1.1.11.1.3.1.1	KP.3.1.1	B.1.1.529.2.86.1.1.11.1.3.1.1	KP.3.1.1
36	B.1.1.529.2.86.1.1.11.1.3.1.1.10.1	MC.10.1	B.1.1.529.2.86.1.1.11.1.3.1.1.10.1	MC.10.1
37	B.1.1.529.2.86.1.1.11.1.3.1.1.11	MC.11	B.1.1.529.2.86.1.1.11.1.3.1.1.11	MC.11
38	B.1.1.529.2.86.1.1.11.1.3.1.1.13	MC.13	B.1.1.529.2.86.1.1.11.1.3.1.1.13	MC.13
39	B.1.1.529.2.86.1.1.11.1.3.1.1.15	MC.15	B.1.1.529.2.86.1.1.11.1.3.1.1.15	MC.15
40	B.1.1.529.2.86.1.1.11.1.3.1.1.16	MC.16	B.1.1.529.2.86.1.1.11.1.3.1.1.16	MC.16
41	B.1.1.529.2.86.1.1.11.1.3.1.1.2	MC.2	B.1.1.529.2.86.1.1.11.1.3.1.1.2	MC.2
42	B.1.1.529.2.86.1.1.11.1.3.1.1.21.1	MC.21.1	B.1.1.529.2.86.1.1.11.1.3.1.1.21.1	MC.21.1
43	B.1.1.529.2.86.1.1.11.1.3.1.1.24	MC.24	B.1.1.529.2.86.1.1.11.1.3.1.1.24	MC.24
44	B.1.1.529.2.86.1.1.11.1.3.2	KP.3.2	B.1.1.529.2.86.1.1.11.1.3.2	KP.3.2
45	B.1.1.529.2.86.1.1.11.1.3.3	KP.3.3	B.1.1.529.2.86.1.1.11.1.3.3	KP.3.3
46	B.1.1.529.2.86.1.1.11.1.3.3.5.3	PG.3	B.1.1.529.2.86.1.1.11.1.3.3.5.3	PG.3
47	B.1.1.529.2.86.1.1.11.1.3.3.5.3.1	PG.3.1	B.1.1.529.2.86.1.1.11.1.3.3.5.3.1	PG.3.1
48	B.1.1.529.2.86.1.1.13.1.1	KS.1	B.1.1.529.2.86.1.1.13.1.1	KS.1
49	B.1.1.529.2.86.1.1.16.1.7	LF.7	B.1.1.529.2.86.1.1.16.1.7	LF.7
50	B.1.1.529.2.86.1.1.16.1.7.6.2	LF.7.6.2	B.1.1.529.2.86.1.1.16.1.7.6.2	LF.7.6.2
51	B.1.1.529.2.86.1.1.16.1.7.7.2	LF.7.7.2	B.1.1.529.2.86.1.1.16.1.7.7.2	LF.7.7.2
52	B.1.1.529.2.86.1.1.16.1.7.9.1.1	PY.1	B.1.1.529.2.86.1.1.16.1.7.9.1.1	PY.1
53	B.1.1.529.2.86.1.1.4	JN.1.4	B.1.1.529.2.86.1.1.4	JN.1.4
54	B.1.1.529.2.86.1.1.4.5	JN.1.4.5	B.1.1.529.2.86.1.1.4.5	JN.1.4.5
55	B.1.1.529.2.86.1.1.49.1.1	MB.1	B.1.1.529.2.86.1.1.49.1.1	MB.1
56	B.1.1.529.2.86.1.1.7	JN.1.7	B.1.1.529.2.86.1.1.7	JN.1.7
57	B.1.1.529.2.86.1.1.7.1	JN.1.7.1	B.1.1.529.2.86.1.1.7.1	JN.1.7.1
58	B.1.1.529.2.86.1.1.9.2.1	LB.1	B.1.1.529.2.86.1.1.9.2.1	LB.1
59	B.1.1.529.2.86.1.1.9.2.1.3.1.3	NL.3	B.1.1.529.2.86.1.1.9.2.1.3.1.3	NL.3
60	B.1.1.529.4	BA.4	B.1.1.529.4	BA.4
61	B.1.1.529.5	BA.5	B.1.1.529.5	BA.5
62	B.1.1.529.5.1	BA.5.1	B.1.1.529.5.1	BA.5.1
63	B.1.1.529.5.2	BA.5.2	B.1.1.529.5.2	BA.5.2
64	B.1.1.529.5.2.1.7	BF.7	B.1.1.529.5.2.1.7	BF.7
65	B.1.1.529.5.3	BA.5.3	B.1.1.529.5.3	BA.5.3
66	B.1.1.529.5.3.1.1	BE.1	B.1.1.529.5.3.1.1	BE.1
67	B.1.1.529.5.3.1.1.1.1.1	BQ.1	B.1.1.529.5.3.1.1.1.1.1	BQ.1
68	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
69	B.1.1.7.1	Q.1	B.1.1.7.1	Q.1
70	B.1.160	B.1.160	B.1.160	B.1.160
71	B.1.177	B.1.177	B.1.177	B.1.177
72	B.1.351	B.1.351	B.1.351	B.1.351
73	B.1.427	B.1.427	B.1.427	B.1.427
74	B.1.525	B.1.525	B.1.525	B.1.525
75	B.1.526	B.1.526	B.1.526	B.1.526
76	B.1.616	B.1.616	B.1.616	B.1.616
77	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
78	B.1.617.2.122	AY.122	B.1.617.2.122	AY.122
79	B.1.617.2.4	AY.4	B.1.617.2.4	AY.4
80	B.1.617.2.4.2	AY.4.2	B.1.617.2.4.2	AY.4.2
81	B.1.617.2.4.5	AY.4.5	B.1.617.2.4.5	AY.4.5
82	B.1.617.2.43.9	AY.43.9	B.1.617.2.43.9	AY.43.9
83	B.1.621	B.1.621	B.1.621	B.1.621
84	XAK	XAK	XAK	XAK
85	XBB	XBB	XBB	XBB
86	XBB.1	XBB.1	XBB.1	XBB.1
87	XBB.1.16	XBB.1.16	XBB.1.16	XBB.1.16
88	XBB.1.18.1.1	FE.1	XBB.1.18.1.1	FE.1
89	XBB.1.5	XBB.1.5	XBB.1.5	XBB.1.5
90	XBB.1.9	XBB.1.9	XBB.1.9	XBB.1.9
91	XBB.1.9.1.1.5	FL.1.5	XBB.1.9.1.1.5	FL.1.5
92	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2	XBB.1.9.2
93	XBB.1.9.2.10	EG.10	XBB.1.9.2.10	EG.10
94	XBB.1.9.2.5	EG.5	XBB.1.9.2.5	EG.5
95	XBB.1.9.2.5.1	EG.5.1	XBB.1.9.2.5.1	EG.5.1
96	XBB.1.9.2.5.1.1.3	HK.3	XBB.1.9.2.5.1.1.3	HK.3
97	XBC	XBC	XBC	XBC
98	XDK.1	XDK.1	XDK.1	XDK.1
99	XDV.1.5.1.1.8.1	NB.1.8.1	XDV.1.5.1.1.8.1	NB.1.8.1
100	XDV.1.5.1.1.8.1.1	PQ.1	XDV.1.5.1.1.8.1.1	PQ.1
101	XDV.1.5.1.1.8.1.12	PQ.12	XDV.1.5.1.1.8.1.12	PQ.12
102	XDV.1.5.1.1.8.1.19	PQ.19	XDV.1.5.1.1.8.1.19	PQ.19
103	XDV.1.5.1.1.8.1.2	PQ.2	XDV.1.5.1.1.8.1.2	PQ.2
104	XDV.1.5.1.1.8.1.4	PQ.4	XDV.1.5.1.1.8.1.4	PQ.4
105	XDV.1.5.1.1.8.1.4.1	PQ.4.1	XDV.1.5.1.1.8.1.4.1	PQ.4.1
106	XEC	XEC	XEC	XEC
107	XEK	XEK	XEK	XEK
108	XFB	XFB	XFB	XFB
109	XFC.1	XFC.1	XFC.1	XFC.1
110	XFG	XFG	XFG	XFG
111	XFG.10	XFG.10	XFG.10	XFG.10
112	XFG.2	XFG.2	XFG.2	XFG.2
113	XFG.22	XFG.22	XFG.22	XFG.22
114	XFG.3	XFG.3	XFG.3	XFG.3
115	XFG.3.1	XFG.3.1	XFG.3.1	XFG.3.1
116	XFG.3.1.2.1	QK.1	XFG.3.1.2.1	QK.1
117	XFG.3.4	XFG.3.4	XFG.3.4	XFG.3.4
118	XFG.3.4.1	XFG.3.4.1	XFG.3.4.1	XFG.3.4.1
119	XFG.3.4.2	XFG.3.4.2	XFG.3.4.2	XFG.3.4.2
120	XFG.4.1	XFG.4.1	XFG.4.1	XFG.4.1
121	XFG.5	XFG.5	XFG.5	XFG.5
122	XFG.6	XFG.6	XFG.6	XFG.6
123	XFG.8	XFG.8	XFG.8	XFG.8
124	XFG.9	XFG.9	XFG.9	XFG.9
125	XFV	XFV	XFV	XFV
